"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","157782","0.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","","","","","",""
"","","","","","instructions","1","513850","0.0-1.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","[{""page_index"":0,""viewing_time"":356066}]","356067","","","","",""
"","","","","","instructions","2","517753","0.0-2.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","[{""page_index"":0,""viewing_time"":3903}]","3903","","","","",""
"true","","","","","fullscreen","3","520018","0.0-3.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","1248","","","","",""
"","","","","","initialize-microphone","4","538776","0.0-4.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","","8feb8e73d37ed18e8f8420af1be63aa0868da1090c60c825dd3b8d6be9115b75","","","",""
"","","","","","html-audio-response","5","1160257","0.0-4.0-1.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","6993","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","4",""
"","","","","","html-button-response","6","1161714","0.0-4.0-2.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","1456","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","1178219","0.0-5.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","[{""page_index"":0,""viewing_time"":1755},{""page_index"":1,""viewing_time"":6414},{""page_index"":2,""viewing_time"":8335}]","16504","","","","",""
"","","","","","image-button-response","8","1184228","0.0-6.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/instructions/movie_0.png","null","",""
"","","","","","html-audio-response","9","1208016","0.0-7.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","17161","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","10",""
"","","","","","instructions","10","1209020","0.0-8.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","[{""page_index"":0,""viewing_time"":999}]","999","","","","",""
"","","","","","image-button-response","11","1215026","0.0-9.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/semantic_sequence/exploring_nature_semantic/exploring_nature_semantic_0.png","null","",""
"","","","","","html-audio-response","12","1234630","0.0-10.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","18147","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","7","exploring_nature_semantic"
"","","","","","image-button-response","13","1240648","0.0-11.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png","null","",""
"","","","","","html-audio-response","14","1261113","0.0-12.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","19101","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","1","supermarket_scheme"
"","","","","","image-button-response","15","1267123","0.0-13.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/causal_sequence/the_performance_causal/the_performance_causal_0.png","null","",""
"","","","","","html-audio-response","16","1289652","0.0-14.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","21351","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","14","the_performance_causal"
"","","","","","image-button-response","17","1295662","0.0-15.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png","null","",""
"","","","","","html-audio-response","18","1320321","0.0-16.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","23401","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","4","creative_activities_semantic"
"","","","","","image-button-response","19","1326334","0.0-17.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/schematic_sequence/interview_scheme/interview_scheme_0.png","null","",""
"","","","","","html-audio-response","20","1351574","0.0-18.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","24115","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","1","interview_scheme"
"","","","","","image-button-response","21","1357596","0.0-19.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/semantic_sequence/redecorating_semantic/redecorating_semantic_0.png","null","",""
"","","","","","html-audio-response","22","1379252","0.0-20.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","20595","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","5","redecorating_semantic"
"","","","","","image-button-response","23","1385271","0.0-21.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png","null","",""
"","","","","","html-audio-response","24","1410194","0.0-22.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","18826","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","8","cat_care_semantic"
"","","","","","image-button-response","25","1416210","0.0-23.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png","null","",""
"","","","","","html-audio-response","26","1516876","0.0-24.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","21531","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","8","restaurant_scheme"
"","","","","","image-button-response","27","1522897","0.0-25.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/causal_sequence/coin_causal/coin_causal_0.png","null","",""
"","","","","","html-audio-response","28","1555597","0.0-26.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","30817","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, in the order of the story they create. Try to recall the sequence of events as they appeared in the story, not necessarily the order they were presented on the screen.</p>""]","","13","coin_causal"
"","","","","","image-button-response","29","1561608","0.0-27.0-0.0","A3648FD0E9B24E6CBEA9A7BD38955AE3","A3648FD0E9B24E6CBEA9A7BD38955AE3","0198f376-833c-7f88-9853-9f8514aba7b5","0198f35f-dc83-7bec-8a54-2d77df4acc9c","{""part"":""2"",""participantId"":""A3648FD0E9B24E6CBEA9A7BD38955AE3"",""assignmentId"":""0198f376-833c-7f88-9853-9f8514aba7b5"",""projectId"":""0198f35f-dc83-7bec-8a54-2d77df4acc9c""}","https://test12345.live/?part=2&participantId=A3648FD0E9B24E6CBEA9A7BD38955AE3&assignmentId=0198f376-833c-7f88-9853-9f8514aba7b5&projectId=0198f35f-dc83-7bec-8a54-2d77df4acc9c","A3648FD0E9B24E6CBEA9A7BD38955AE3-2025-08-29-02-09-31","","null","","images/schematic_sequence/hotel_scheme/hotel_scheme_0.png","null","",""
